idx,head_name,in_scope,challenge2017,cinc2015,ecg_tp_fzark,ecg_fp_fzark,mimic,mitdb,move,ptbxl_active
71,T WAVE AMPLITUDE HAS DECREASED IN,,,,,,,,,
72,WITH A COMPETING JUNCTIONAL PACEMAKER,,,,,,,,,
73,RIGHT SUPERIOR AXIS DEVIATION,,,,,,,,,
74,BIATRIAL ENLARGEMENT,,,,,,,,,
75,VENTRICULAR-PACED RHYTHM,,,,,,,,,
76,ATRIAL-PACED RHYTHM,,,,,,,,,
77,T WAVE AMPLITUDE HAS INCREASED IN,,,,,,,,,
78,WITH QRS WIDENING,,,,,,,,,yes
79,WITH 1ST DEGREE AV BLOCK,,,,,,,,,yes
80,PROLONGED QT,,,,,,,,,
81,WITH PROLONGED AV CONDUCTION,,,,,,,,,
82,RIGHT VENTRICULAR HYPERTROPHY,,,,,,,,,yes
83,WITH QRS WIDENING AND REPOLARIZATION ABNORMALITY,,,,,,,,,
84,ATRIAL-SENSED VENTRICULAR-PACED RHYTHM,,,,,,,,,
85,AV SEQUENTIAL OR DUAL CHAMBER ELECTRONIC PACEMAKER,,,,,,,,,
86,PULMONARY DISEASE PATTERN,,,,,,,,,
87,ACUTE MI / STEMI,,,,,,,,,
88,INFERIOR-POSTERIOR INFARCT,,,,,,,,,
89,NONSPECIFIC INTRAVENTRICULAR CONDUCTION DELAY,,,,,,,,,
90,PREMATURE VENTRICULAR AND FUSION COMPLEXES,,,,,,,,,
91,IN A PATTERN OF BIGEMINY,,,,,,,,,
92,AV DUAL-PACED RHYTHM,,,,,,,,,
93,SUPRAVENTRICULAR TACHYCARDIA,yes,,,Supraventricular Run,Supraventricular Run,supraventricular tachycardia; svt; atrioventricular nodal reentrant tachycardia; avnrt; atrioventricular reentrant tachycardia; avrt,rhythm:(SVTA,,yes
94,VENTRICULAR-PACED COMPLEXES,,,,,,,,,
95,WIDE QRS TACHYCARDIA,,,,,,,,,
96,RSR' PATTERN IN V1,,,,,,,,,
97,ST LESS DEPRESSED IN,,,,,,,,,
98,VENTRICULAR TACHYCARDIA,yes,,alarm:ventricular_tachycardia; alarm:vtach,Ventricular Run,Ventricular Run,ventricular tachycardia; v-tach; vt ; nonsustained ventricular tachycardia; nsvt; vent tachycardia,rhythm:(VT,,yes
99,EARLY REPOLARIZATION,,,,,,,,,
100,ST MORE DEPRESSED IN,,,,,,,,,
101,ANTEROLATERAL LEADS,,,,,,,,,yes
102,ELECTRONIC DEMAND PACING,,,,,,,,,
103,RBBB AND LEFT ANTERIOR FASCICULAR BLOCK,,,,,,,,,
104,LATERAL INJURY PATTERN,,,,,,,,,
105,BIVENTRICULAR PACEMAKER DETECTED,,,,,,,,,
106,SUSPECT UNSPECIFIED PACEMAKER FAILURE,,,,,,,,,
107,WOLFF-PARKINSON-WHITE,,,,,,,,,yes
108,WITH VENTRICULAR ESCAPE COMPLEXES,,,,,,,,,
109,INFERIOR INJURY PATTERN,,,,,,,,,
110,CONSIDER RIGHT VENTRICULAR INVOLVEMENT IN ACUTE INFERIOR INFARCT,,,,,,,,,
111,ST ELEVATION HAS REPLACED ST DEPRESSION IN,,,,,,,,,
112,NONSPECIFIC INTRAVENTRICULAR BLOCK,,,,,,,,,yes
113,MASKED BY FASCICULAR BLOCK,,,,,,,,,
114,PEDIATRIC ECG ANALYSIS,,,,,,,,,
115,BLOCKED,,,,,,,,,
116,WITH UNDETERMINED RHYTHM IRREGULARITY,,,,,,,,,
117,LEFTWARD AXIS,,,,,,,,,
118,WITH 2ND DEGREE SA BLOCK MOBITZ I,,,,,,,,,
119,ACUTE,,,,,,,,,
120,ABNORMAL LEFT AXIS DEVIATION,,,,,,,,,
121,WITH COMPLETE HEART BLOCK,,,,,,,,,
122,NO P-WAVES FOUND,,,,,,,,,
123,ST LESS ELEVATED IN,,,,,,,,,
124,WITH RETROGRADE CONDUCTION,,,,,,,,,
125,ST MORE ELEVATED IN,,,,,,,,,
126,JUNCTIONAL BRADYCARDIA,,,,,,,,,
127,WITH VARIABLE AV BLOCK,,,,,,,,,
128,ANTERIOR INJURY PATTERN,,,,,,,,,
129,WITH JUNCTIONAL ESCAPE COMPLEXES,,,,,,,,,
130,ACUTE MI,,,,,,,,,
131,ACUTE PERICARDITIS,,,,,,,,,
132,POSTERIOR INFARCT,,,,,,,,,
133,IDIOVENTRICULAR RHYTHM,,,,,,,,,
134,WITH 2ND DEGREE SA BLOCK MOBITZ II,,,,,,,,,
135,R IN AVL,,,,,,,,,
136,SINUS/ATRIAL CAPTURE,,,,,,,,,
137,AV DUAL-PACED COMPLEXES,,,,,,,,,
138,INFEROLATERAL INJURY PATTERN,,,,,,,,,
139,RBBB AND LEFT POSTERIOR FASCICULAR BLOCK,,,,,,,,,
140,ANTEROLATERAL INJURY PATTERN,,,,,,,,,
141,ATRIAL-PACED COMPLEXES,,,,,,,,,
142,WITH SINUS PAUSE,yes,,alarm:asystole,Pause,Pause,sinus pause; sinoatrial pause; sinus arrest; asystole,,,
143,BIVENTRICULAR HYPERTROPHY,,,,,,,,,
144,ABNORMAL RIGHT AXIS DEVIATION,,,,,,,,,
145,SUPRAVENTRICULAR COMPLEXES,,,,,,,,,
146,WITH 2ND DEGREE AV BLOCK MOBITZ I,,,,,,,,,
147,WITH 2:1 AV CONDUCTION,,,,,,,,,
148,WITH AV DISSOCIATION,,,,,,,,,
149,MULTIFOCAL ATRIAL TACHYCARDIA,,,,,,,,,
150,Noisy,,~ (noise / unclassifiable),,,,,,,
151,High Motion,,,,,,,,accelerometer mean_motion above per-head gate,
