stage,group,metric,p5,median,p95,n
S3 baseline,AFib,pct_physiologic_hr,99.64285714285717,100.0,100.0,400
S3 baseline,AFib,sqi_score_ecg,0.6904121048246343,0.8447998743275628,0.9406482513191086,400
S3 baseline,Normal,dynamic_range_mv,485.0674790712184,1136.5389385401731,2480.6559179394917,400
S3 baseline,Normal,flat_pct,0.0,0.0,2.3258162234937703,400
S3 baseline,Normal,clip_pct,0.0,0.0,0.26666666666666666,400
S3 baseline,Normal,baseline_drift,2.7059950540668303,8.198939810331238,38.26813380102172,400
S3 baseline,Normal,hf_noise_ratio,3.460647894646051e-05,0.00012640372633151794,0.00041226408013640735,400
S3 baseline,Normal,snr_proxy,0.45449709667036586,1.5915734103014292,3.2088846107211992,400
S3 baseline,Normal,kurt,3.1105649149755528,12.23994449196364,25.830160030661794,400
S3 baseline,Normal,n_peaks,10.0,12.0,17.0,400
S3 baseline,Normal,mean_hr_bpm,56.41751567398119,71.14846820576332,98.92902682993348,400
S3 baseline,Normal,rr_cv,0.00747687269091119,0.046706242659452446,0.36664464828398885,400
S3 baseline,Normal,pct_physiologic_hr,100.0,100.0,100.0,400
S3 baseline,Normal,sqi_score_ecg,0.6781794758369539,0.8367333148617657,0.9365269350668487,400
S3 baseline,Noisy,dynamic_range_mv,496.05216581740433,2267.112645319885,6410.267415177487,279
S3 baseline,Noisy,flat_pct,0.0,0.13463480309660047,4.483338943116793,279
S3 baseline,Noisy,clip_pct,0.0,0.0,0.23333333333333336,279
S3 baseline,Noisy,baseline_drift,4.758431487269784,29.153929835166622,90.03557537285357,279
S3 baseline,Noisy,hf_noise_ratio,7.222517192869273e-05,0.00026207460447065484,0.0011660991957324102,279
S3 baseline,Noisy,snr_proxy,0.15054197584404522,0.536539187398353,2.235550920598893,279
S3 baseline,Noisy,kurt,1.0779670853292642,8.360445984055167,56.71610995669723,279
S3 baseline,Noisy,n_peaks,10.0,15.0,21.0,279
S3 baseline,Noisy,mean_hr_bpm,60.698816627388055,94.2766425140438,144.1493151278985,279
S3 baseline,Noisy,rr_cv,0.14905068121988221,0.2965824235112394,0.5119520512940521,279
S3 baseline,Noisy,pct_physiologic_hr,91.66666666666666,100.0,100.0,279
S3 baseline,Noisy,sqi_score_ecg,0.6175045966433895,0.7200739608054858,0.8430508072577687,279
S4 resample,AFib,dynamic_range_mv,653.4764136262529,1166.9887081352672,2004.692153686833,400
S4 resample,AFib,flat_pct,0.0,0.0,0.8887093516461321,400
S4 resample,AFib,clip_pct,0.0,0.0,0.24,400
S4 resample,AFib,baseline_drift,3.620213971367073,8.979423017768303,31.664999795410303,400
S4 resample,AFib,hf_noise_ratio,3.028110784231377e-05,0.00010754881057840378,0.0003793673524223386,400
S4 resample,AFib,snr_proxy,0.5304917892528979,1.812825244899498,3.6493124367611234,400
S4 resample,AFib,kurt,3.173658029561889,11.348269818616542,23.322968250249428,400
S4 resample,AFib,n_peaks,10.0,14.0,23.0,400
S4 resample,AFib,mean_hr_bpm,60.22891566265061,89.44742356611167,145.66984800282782,400
S4 resample,AFib,rr_cv,0.07966796286988308,0.19475319987267875,0.35394627053599137,400
S4 resample,AFib,pct_physiologic_hr,100.0,100.0,100.0,400
S4 resample,AFib,sqi_score_ecg,0.6890857006449155,0.8428501136593417,0.941176736165348,400
S4 resample,Normal,dynamic_range_mv,479.90680843717973,1129.1929649481094,2476.2251789696024,400
S4 resample,Normal,flat_pct,0.0,0.0,2.1642092506564303,400
S4 resample,Normal,clip_pct,0.0,0.0,0.24,400
S4 resample,Normal,baseline_drift,2.778397526332812,8.275866908001912,41.96958115816398,400
S4 resample,Normal,hf_noise_ratio,3.681659370043307e-05,0.0001270063444730298,0.00037910962360808225,400
S4 resample,Normal,snr_proxy,0.45065667732254355,1.583654796772993,3.209214819890621,400
S4 resample,Normal,kurt,3.0909737123011776,12.053274921759456,25.569314931491398,400
S4 resample,Normal,n_peaks,10.0,12.0,17.0,400
S4 resample,Normal,mean_hr_bpm,56.28517823639775,71.2615122535848,98.79961889273945,400
S4 resample,Normal,rr_cv,0.007497193948704668,0.0459861335884454,0.36765334692349194,400
S4 resample,Normal,pct_physiologic_hr,100.0,100.0,100.0,400
S4 resample,Normal,sqi_score_ecg,0.6759223416038874,0.8335018637795828,0.9356502101742363,400
S4 resample,Noisy,dynamic_range_mv,493.8225823488773,2253.4637294117,6382.0193456340185,279
S4 resample,Noisy,flat_pct,0.0,0.08079175924055745,4.211270450414054,279
S4 resample,Noisy,clip_pct,0.0,0.06,0.24,279
S4 resample,Noisy,baseline_drift,4.595137781934465,29.962079204361576,93.82362894993095,279
S4 resample,Noisy,hf_noise_ratio,5.8251271529619185e-05,0.0002124196180467631,0.001058701926800269,279
S4 resample,Noisy,snr_proxy,0.14907857597198992,0.5303297942644942,2.219207369488071,279
S4 resample,Noisy,kurt,1.0599951218259915,8.34151664276583,56.405941493373966,279
S4 resample,Noisy,n_peaks,10.0,16.0,21.0,279
S4 resample,Noisy,mean_hr_bpm,60.72425098830446,94.17509591907918,144.2361051822761,279
S4 resample,Noisy,rr_cv,0.145501157888441,0.2966031142247039,0.5107587120360384,279
S4 resample,Noisy,pct_physiologic_hr,91.66666666666666,100.0,100.0,279
S4 resample,Noisy,sqi_score_ecg,0.617482959886311,0.7196198919384978,0.84229368867124,279
S5 normalize,AFib,dynamic_range_mv,5.12946756049066,6.160664925210055,7.468175226061433,400
S5 normalize,AFib,flat_pct,0.0,0.0,0.9977782266208773,400
S5 normalize,AFib,clip_pct,3.02,3.16,3.660999999999999,400
S5 normalize,AFib,baseline_drift,0.03172522478323288,0.06337648103966662,0.1699816822816173,400
S5 normalize,AFib,hf_noise_ratio,0.0004556091152559693,0.002196639153426223,0.007230784776701016,400
S5 normalize,AFib,snr_proxy,0.5527536827869817,1.6857684026204542,3.3934643668656395,400
S5 normalize,AFib,kurt,1.9872140973399797,8.578433672389616,18.720086114976322,400
S5 normalize,AFib,n_peaks,10.0,15.0,23.0,400
S5 normalize,AFib,mean_hr_bpm,60.781596452328166,89.97495975891951,145.66984800282782,400
S5 normalize,AFib,rr_cv,0.080389361287623,0.1996012030973886,0.37262684826840653,400
S5 normalize,AFib,pct_physiologic_hr,100.0,100.0,100.0,400
S5 normalize,AFib,sqi_score_ecg,0.6515044408945406,0.8170114995664897,0.9249249936422552,400
S5 normalize,Normal,dynamic_range_mv,5.171493990939221,6.306384115305447,7.416488610505891,400
S5 normalize,Normal,flat_pct,0.0,0.010098969905069682,2.3500302969097087,400
S5 normalize,Normal,clip_pct,3.04,3.16,3.66,400
S5 normalize,Normal,baseline_drift,0.029174309659426318,0.06614754983572767,0.2196583869393649,400
S5 normalize,Normal,hf_noise_ratio,0.0007683989934954583,0.003235508517349928,0.008112591223358659,400
S5 normalize,Normal,snr_proxy,0.4866805660075972,1.4103850395745179,3.0677386855085373,400
S5 normalize,Normal,kurt,1.8560034938505103,7.97482942229382,20.49311246108489,400
S5 normalize,Normal,n_peaks,10.0,12.0,17.0,400
S5 normalize,Normal,mean_hr_bpm,56.28517823639775,72.02891532927504,110.99732448881957,400
S5 normalize,Normal,rr_cv,0.007748006421544101,0.05502507862511617,0.3835302705510629,400
S5 normalize,Normal,pct_physiologic_hr,100.0,100.0,100.0,400
S5 normalize,Normal,sqi_score_ecg,0.632953377222467,0.7913652715650066,0.9221108830850753,400
S5 normalize,Noisy,dynamic_range_mv,4.740734213505706,5.932357831710732,7.672543879001989,279
S5 normalize,Noisy,flat_pct,0.0,0.1615835184811149,4.407190466572408,279
S5 normalize,Noisy,clip_pct,3.02,3.1199999999999997,3.2800000000000002,279
S5 normalize,Noisy,baseline_drift,0.06054171830966906,0.12625224737776813,0.2368968128626537,279
S5 normalize,Noisy,hf_noise_ratio,0.00023712554703630894,0.001059895483937403,0.005910694006867933,279
S5 normalize,Noisy,snr_proxy,0.16680043734545486,0.52439685124423,2.0916699672095946,279
S5 normalize,Noisy,kurt,0.3326345335710466,3.2709149768376236,10.834933543244338,279
S5 normalize,Noisy,n_peaks,12.0,16.0,21.0,279
S5 normalize,Noisy,mean_hr_bpm,64.25680020684031,98.83821744407838,144.23076923076923,279
S5 normalize,Noisy,rr_cv,0.17770180121916834,0.3081824122123071,0.4814518952646739,279
S5 normalize,Noisy,pct_physiologic_hr,94.28571428571429,100.0,100.0,279
S5 normalize,Noisy,sqi_score_ecg,0.5884641867562938,0.6549366615128271,0.7865276039912812,279
