stage,group,metric,n,p10,p15,p20,median,p80,p85,p90
S3 baseline,AFib,clip_pct,500,0.0,0.0,0.0,0.0,0.1,0.1333,0.1667
S3 baseline,AFib,baseline_drift,500,4.5402,5.2237,5.9206,9.2321,15.1173,18.9614,23.1194
S3 baseline,AFib,hf_noise_ratio,500,0.0,0.0001,0.0001,0.0001,0.0002,0.0003,0.0003
S3 baseline,AFib,snr_proxy,500,0.7587,0.9024,1.0644,1.8185,2.6029,2.8019,3.2218
S3 baseline,AFib,kurt,500,4.4596,5.3581,6.1418,11.4947,17.6222,19.0967,20.7436
S3 baseline,AFib,n_peaks,500,11.0,11.0,12.0,14.0,19.0,20.0,21.0
S3 baseline,AFib,mean_hr_bpm,500,64.0686,67.7778,70.0389,87.8216,117.8019,125.0009,134.3284
S3 baseline,AFib,rr_cv,500,0.0982,0.1168,0.1333,0.1973,0.2722,0.2887,0.3165
S3 baseline,AFib,pct_physiologic_hr,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0
S3 baseline,AFib,sqi_score_ecg,500,0.7199,0.7456,0.7666,0.8423,0.8921,0.9084,0.9216
S3 baseline,Normal,dynamic_range_mv,500,619.914,725.7814,791.2173,1153.1171,1609.9254,1741.7557,1904.2711
S3 baseline,Normal,flat_pct,500,0.0,0.0,0.0,0.0,0.8145,1.1107,1.6526
S3 baseline,Normal,clip_pct,500,0.0,0.0,0.0,0.0,0.1,0.1333,0.17
S3 baseline,Normal,baseline_drift,500,3.7825,4.4776,4.8833,8.0035,17.0702,19.457,24.8626
S3 baseline,Normal,hf_noise_ratio,500,0.0,0.0001,0.0001,0.0001,0.0002,0.0003,0.0003
S3 baseline,Normal,snr_proxy,500,0.664,0.8138,0.9818,1.6139,2.2738,2.469,2.7005
S3 baseline,Normal,kurt,500,3.9901,5.778,6.7242,11.8905,17.9122,20.5349,22.6107
S3 baseline,Normal,n_peaks,500,10.0,10.0,11.0,12.0,14.0,15.0,16.0
S3 baseline,Normal,mean_hr_bpm,500,59.7921,61.8239,63.3803,72.5806,85.31,88.6703,94.2904
S3 baseline,Normal,rr_cv,500,0.0099,0.0124,0.0161,0.0447,0.2009,0.2341,0.3111
S3 baseline,Normal,pct_physiologic_hr,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0
S3 baseline,Normal,sqi_score_ecg,500,0.7083,0.7313,0.7434,0.8373,0.8876,0.8999,0.913
S3 baseline,Noisy,dynamic_range_mv,279,632.2457,760.8787,972.3145,2267.1126,4128.613,4462.2287,5279.0747
S3 baseline,Noisy,flat_pct,279,0.0,0.0,0.0,0.1346,1.4473,2.272,3.2312
S3 baseline,Noisy,clip_pct,279,0.0,0.0,0.0,0.0,0.1333,0.1333,0.2
S3 baseline,Noisy,baseline_drift,279,7.8108,9.9195,12.8857,29.1539,53.0496,61.326,70.1368
S3 baseline,Noisy,hf_noise_ratio,279,0.0001,0.0001,0.0001,0.0003,0.0005,0.0006,0.0008
S3 baseline,Noisy,snr_proxy,279,0.2041,0.2417,0.2814,0.5365,1.2128,1.401,1.8112
S3 baseline,Noisy,kurt,279,1.9586,2.618,3.0785,8.3604,21.1939,29.1524,36.8016
S3 baseline,Noisy,n_peaks,279,12.0,13.0,13.0,15.0,19.0,19.0,20.0
S3 baseline,Noisy,mean_hr_bpm,279,67.019,70.7828,74.0776,94.2766,121.0126,125.5938,131.5431
S3 baseline,Noisy,rr_cv,279,0.1853,0.2089,0.2232,0.2966,0.3772,0.4067,0.441
S3 baseline,Noisy,pct_physiologic_hr,279,100.0,100.0,100.0,100.0,100.0,100.0,100.0
S3 baseline,Noisy,sqi_score_ecg,279,0.6353,0.6454,0.6586,0.7201,0.7696,0.7866,0.8124
S4 resample,AFib,dynamic_range_mv,500,755.1873,809.3114,862.6055,1175.4338,1566.5904,1679.3025,1813.1191
S4 resample,AFib,flat_pct,500,0.0,0.0,0.0,0.0,0.0,0.104,0.3252
S4 resample,AFib,clip_pct,500,0.0,0.0,0.0,0.0,0.12,0.14,0.2
S4 resample,AFib,baseline_drift,500,4.3975,5.2186,5.7085,9.1378,14.5769,18.6196,22.0407
S4 resample,AFib,hf_noise_ratio,500,0.0,0.0,0.0001,0.0001,0.0002,0.0003,0.0003
S4 resample,AFib,snr_proxy,500,0.7326,0.8907,1.0565,1.7722,2.5851,2.7745,3.1432
S4 resample,AFib,kurt,500,4.391,5.3049,6.0806,11.3483,17.5544,18.9131,20.5923
S4 resample,AFib,n_peaks,500,11.0,11.0,12.0,14.0,19.0,20.0,21.0
S4 resample,AFib,mean_hr_bpm,500,64.2212,67.7858,70.062,88.0572,117.2851,124.4166,134.5291
S4 resample,AFib,rr_cv,500,0.0984,0.1165,0.1328,0.1974,0.272,0.289,0.3162
S4 resample,AFib,pct_physiologic_hr,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0
S4 resample,AFib,sqi_score_ecg,500,0.7182,0.7439,0.7652,0.8391,0.8907,0.9065,0.9214
S4 resample,Normal,dynamic_range_mv,500,615.1196,723.0332,786.1121,1141.5229,1606.6304,1739.3182,1898.1833
S4 resample,Normal,flat_pct,500,0.0,0.0,0.0,0.0,0.7312,0.9695,1.4946
S4 resample,Normal,clip_pct,500,0.0,0.0,0.0,0.0,0.12,0.14,0.2
S4 resample,Normal,baseline_drift,500,3.8287,4.3735,4.8094,8.0957,16.2314,18.6701,23.6588
S4 resample,Normal,hf_noise_ratio,500,0.0,0.0001,0.0001,0.0001,0.0002,0.0002,0.0003
S4 resample,Normal,snr_proxy,500,0.6575,0.799,0.9764,1.5938,2.2415,2.4517,2.6747
S4 resample,Normal,kurt,500,3.9089,5.7012,6.6103,11.7717,17.7433,20.3455,22.4746
S4 resample,Normal,n_peaks,500,10.0,10.0,11.0,12.0,14.0,15.0,16.0
S4 resample,Normal,mean_hr_bpm,500,59.554,61.7094,63.3982,72.6285,85.278,88.654,94.3545
S4 resample,Normal,rr_cv,500,0.0098,0.0124,0.0162,0.044,0.2006,0.2342,0.3008
S4 resample,Normal,pct_physiologic_hr,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0
S4 resample,Normal,sqi_score_ecg,500,0.7076,0.729,0.7428,0.8355,0.8859,0.8989,0.9123
S4 resample,Noisy,dynamic_range_mv,279,629.7659,759.2283,970.9062,2253.4637,4117.3671,4461.3886,5248.7063
S4 resample,Noisy,flat_pct,279,0.0,0.0,0.0,0.0808,1.329,2.0683,2.9287
S4 resample,Noisy,clip_pct,279,0.0,0.0,0.0,0.06,0.16,0.18,0.204
S4 resample,Noisy,baseline_drift,279,7.1938,9.7311,13.1866,29.9621,52.3827,60.5299,69.9884
S4 resample,Noisy,hf_noise_ratio,279,0.0001,0.0001,0.0001,0.0002,0.0005,0.0005,0.0007
S4 resample,Noisy,snr_proxy,279,0.2025,0.2389,0.2797,0.5303,1.2091,1.392,1.7893
S4 resample,Noisy,kurt,279,1.9234,2.6069,3.0669,8.3415,21.2,29.2672,36.8243
S4 resample,Noisy,n_peaks,279,12.0,12.0,13.0,16.0,19.0,19.0,20.0
S4 resample,Noisy,mean_hr_bpm,279,66.8606,70.8812,74.2211,94.1751,118.9542,125.1052,131.442
S4 resample,Noisy,rr_cv,279,0.1866,0.211,0.2234,0.2966,0.3749,0.4015,0.4413
S4 resample,Noisy,pct_physiologic_hr,279,100.0,100.0,100.0,100.0,100.0,100.0,100.0
S4 resample,Noisy,sqi_score_ecg,279,0.6352,0.6447,0.6582,0.7196,0.7689,0.7834,0.812
S5 normalize,AFib,dynamic_range_mv,500,5.3748,5.5345,5.6486,6.1655,6.7744,6.982,7.1604
S5 normalize,AFib,flat_pct,500,0.0,0.0,0.0,0.0,0.1212,0.2626,0.4848
S5 normalize,AFib,clip_pct,500,3.04,3.06,3.08,3.16,3.34,3.4,3.46
S5 normalize,AFib,baseline_drift,500,0.037,0.0418,0.0444,0.065,0.0987,0.1101,0.131
S5 normalize,AFib,hf_noise_ratio,500,0.0007,0.0009,0.0011,0.0022,0.0038,0.0045,0.0056
S5 normalize,AFib,snr_proxy,500,0.7412,0.8548,0.9884,1.6746,2.398,2.7073,3.0558
S5 normalize,AFib,kurt,500,3.1044,3.5842,4.291,8.4492,13.839,15.4421,16.7505
S5 normalize,AFib,n_peaks,500,11.0,11.0,12.0,15.0,19.0,20.0,21.0
S5 normalize,AFib,mean_hr_bpm,500,65.1412,68.1595,71.2251,89.6516,119.051,125.5243,134.5294
S5 normalize,AFib,rr_cv,500,0.0986,0.1197,0.1352,0.2025,0.2825,0.3068,0.3396
S5 normalize,AFib,pct_physiologic_hr,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0
S5 normalize,AFib,sqi_score_ecg,500,0.6779,0.6976,0.7312,0.8148,0.8736,0.8869,0.9022
S5 normalize,Normal,dynamic_range_mv,500,5.4852,5.6627,5.7733,6.2711,6.8441,6.9843,7.1394
S5 normalize,Normal,flat_pct,500,0.0,0.0,0.0,0.0202,0.7918,1.0735,1.6986
S5 normalize,Normal,clip_pct,500,3.06,3.08,3.08,3.16,3.3,3.38,3.482
S5 normalize,Normal,baseline_drift,500,0.0353,0.0398,0.0426,0.0653,0.1066,0.1204,0.14
S5 normalize,Normal,hf_noise_ratio,500,0.0011,0.0015,0.0018,0.0032,0.0052,0.0058,0.0067
S5 normalize,Normal,snr_proxy,500,0.6168,0.7612,0.8681,1.431,2.1062,2.231,2.4674
S5 normalize,Normal,kurt,500,2.3835,3.2348,4.1672,8.0247,14.0499,15.3591,17.8625
S5 normalize,Normal,n_peaks,500,10.0,10.85,11.0,13.0,15.0,15.0,16.0
S5 normalize,Normal,mean_hr_bpm,500,59.9222,62.3053,63.6133,73.0871,87.2093,89.5608,96.0262
S5 normalize,Normal,rr_cv,500,0.0101,0.013,0.017,0.0529,0.2262,0.2629,0.3299
S5 normalize,Normal,pct_physiologic_hr,500,100.0,100.0,100.0,100.0,100.0,100.0,100.0
S5 normalize,Normal,sqi_score_ecg,500,0.6545,0.6773,0.6946,0.7941,0.867,0.8731,0.8872
S5 normalize,Noisy,dynamic_range_mv,279,5.0318,5.1351,5.2309,5.9324,6.7778,6.9308,7.3233
S5 normalize,Noisy,flat_pct,279,0.0,0.0,0.0,0.1616,1.3896,2.0885,3.159
S5 normalize,Noisy,clip_pct,279,3.04,3.06,3.06,3.12,3.18,3.2,3.24
S5 normalize,Noisy,baseline_drift,279,0.0702,0.0779,0.0847,0.1263,0.1799,0.1924,0.2082
S5 normalize,Noisy,hf_noise_ratio,279,0.0003,0.0004,0.0004,0.0011,0.003,0.0033,0.0042
S5 normalize,Noisy,snr_proxy,279,0.2118,0.2438,0.2771,0.5244,1.1371,1.2778,1.6414
S5 normalize,Noisy,kurt,279,0.7585,0.9824,1.3368,3.2709,6.2346,7.0625,8.1917
S5 normalize,Noisy,n_peaks,279,13.0,13.0,14.0,16.0,19.0,20.0,21.0
S5 normalize,Noisy,mean_hr_bpm,279,70.0864,74.1477,77.0042,98.8382,124.3312,128.5372,136.3862
S5 normalize,Noisy,rr_cv,279,0.2028,0.2205,0.2342,0.3082,0.3791,0.4069,0.4391
S5 normalize,Noisy,pct_physiologic_hr,279,100.0,100.0,100.0,100.0,100.0,100.0,100.0
S5 normalize,Noisy,sqi_score_ecg,279,0.6012,0.6088,0.6199,0.6549,0.7145,0.7313,0.7494
